Model,ROUGE-1,ROUGE-2,ROUGE-L,Inference Time
facebook/bart-large-cnn,0.8395061728395062,0.8354430379746834,0.8395061728395062,20.08968472480774
t5-small,0.6571428571428571,0.6176470588235293,0.6571428571428571,2.045275926589966
t5-base,0.7948717948717948,0.7368421052631579,0.7948717948717948,7.149682998657227
google/pegasus-xsum,0.125,0.0,0.09374999999999999,16.3779239654541
